Year,Onsite spend,Offsite spend
2017/18,214650637.0,49687837.0
2018/19,181135992.0,50355796.0
2019/20,183763447.0,51728441.0
2020/21,173666088.0,51684211.0
2021/22,175308637.0,58941942.0
2022/23,170928754.0,66773505.0
2023/24,178363050.0,66292279.0
